Weight	Nested	Procedure	Electric	Heat	Pain	Word	ISI	Related
1		TrialProc	none	none	high	softening	1500	FALSE
1		TrialProc	none	high	none	eye	2000	FALSE
1		TrialProc	none	none	high	battery	2000	FALSE
1		TrialProc	none	none	low	bruise	2000	TRUE
1		TrialProc	none	low	none	blanket	1500	TRUE
1		TrialProc	none	none	low	tiring	1000	TRUE
1		TrialProc	low	none	none	furnace	1500	FALSE
1		TrialProc	low	none	none	buzzing	2000	TRUE
1		TrialProc	none	low	none	eyeglasses	1000	FALSE
1		TrialProc	none	none	high	chilli pepper	1000	TRUE
1		TrialProc	none	high	none	high-powered	2000	FALSE
1		TrialProc	low	none	none	house	1000	FALSE
1		TrialProc	none	none	high	bomb	1500	TRUE
1		TrialProc	none	none	low	oscillation	1000	FALSE
1		TrialProc	none	high	none	funny	1000	FALSE
1		TrialProc	high	none	none	attractive	2000	FALSE
1		TrialProc	none	none	high	hurting	1000	TRUE
1		TrialProc	none	low	none	shock	1500	FALSE
1		TrialProc	high	none	none	heating	1000	FALSE
1		TrialProc	none	low	none	duvet	1000	TRUE
1		TrialProc	none	none	high	stabbing	1000	TRUE
1		TrialProc	none	none	low	hot	1500	TRUE
1		TrialProc	low	none	none	zapping	1000	TRUE
1		TrialProc	high	none	none	igniting	2000	TRUE
1		TrialProc	low	none	none	sky	1500	FALSE
1		TrialProc	none	none	low	adaptor	1500	FALSE
1		TrialProc	low	none	none	tingle	1500	TRUE
1		TrialProc	none	none	high	suffering	1000	TRUE
1		TrialProc	none	low	none	melting	1000	TRUE
1		TrialProc	high	none	none	galvanizing	1000	TRUE
1		TrialProc	high	none	none	snug	1500	FALSE
1		TrialProc	none	none	low	redness	2000	TRUE
1		TrialProc	none	high	none	coffee	1500	TRUE
1		TrialProc	none	low	none	sweater	1500	TRUE
1		TrialProc	none	low	none	searing	2000	FALSE
1		TrialProc	none	low	none	kindling	1000	FALSE
1		TrialProc	none	none	high	throbbing	2000	TRUE
1		TrialProc	none	high	none	reading	1500	FALSE
1		TrialProc	none	low	none	lightning	2000	FALSE
1		TrialProc	none	none	high	wrenching	1500	TRUE
1		TrialProc	high	none	none	throwing	1500	FALSE
1		TrialProc	high	none	none	generator	1000	TRUE
1		TrialProc	none	high	none	fuming	1000	TRUE
1		TrialProc	low	none	none	pesky	1000	TRUE
1		TrialProc	high	none	none	electrocution 	1500	TRUE
1		TrialProc	none	none	low	inflammation	1000	TRUE
1		TrialProc	high	none	none	electricity	2000	TRUE
1		TrialProc	none	high	none	simmering	2000	TRUE
1		TrialProc	low	none	none	charming	1000	FALSE
1		TrialProc	low	none	none	vitalizing	1500	TRUE
1		TrialProc	none	high	none	static	1000	FALSE
1		TrialProc	none	none	low	nagging	2000	TRUE
1		TrialProc	none	none	low	feather	1000	FALSE
1		TrialProc	high	none	none	bothering	2000	FALSE
1		TrialProc	none	low	none	defrosting	1000	TRUE
1		TrialProc	none	low	none	puzzle	1000	FALSE
1		TrialProc	low	none	none	stimulation	2000	TRUE
1		TrialProc	none	none	high	stinging	2000	TRUE
1		TrialProc	low	none	none	electrode	1500	TRUE
1		TrialProc	high	none	none	startling	1000	TRUE
1		TrialProc	high	none	none	jarring	1500	TRUE
1		TrialProc	none	none	high	torture	1000	TRUE
1		TrialProc	none	none	low	understanding	2000	FALSE
1		TrialProc	high	none	none	acid	1000	FALSE
1		TrialProc	none	none	high	scalding	1000	TRUE
1		TrialProc	low	none	none	wire	1500	TRUE
1		TrialProc	none	high	none	dull	1000	FALSE
1		TrialProc	none	high	none	dancing	1000	FALSE
1		TrialProc	none	none	high	translating	2000	FALSE
1		TrialProc	none	none	low	troublesome	2000	TRUE
1		TrialProc	low	none	none	plain	1500	FALSE
1		TrialProc	none	low	none	eating	2000	FALSE
1		TrialProc	none	low	none	tepid	1500	TRUE
1		TrialProc	none	high	none	heatwave	2000	TRUE
1		TrialProc	none	none	high	invigorating	1500	FALSE
1		TrialProc	none	none	low	wattage	2000	FALSE
1		TrialProc	none	low	none	toasty	1500	TRUE
1		TrialProc	none	none	high	intense	1500	TRUE
1		TrialProc	none	high	none	chaffing	1000	FALSE
1		TrialProc	none	high	none	story	1500	FALSE
1		TrialProc	none	none	low	proud	1000	FALSE
1		TrialProc	high	none	none	foot	2000	FALSE
1		TrialProc	low	none	none	broiling	1000	FALSE
1		TrialProc	high	none	none	turbine	2000	TRUE
1		TrialProc	low	none	none	chair	2000	FALSE
1		TrialProc	high	none	none	seizing	1000	TRUE
1		TrialProc	high	none	none	ball	1500	FALSE
1		TrialProc	none	high	none	fireplace	1000	TRUE
1		TrialProc	none	none	low	bow	1500	FALSE
1		TrialProc	none	high	none	cut	2000	FALSE
1		TrialProc	none	none	low	swelling	1500	TRUE
1		TrialProc	none	low	none	piano	1500	FALSE
1		TrialProc	low	none	none	pain	1500	FALSE
1		TrialProc	none	low	none	reheating	1500	TRUE
1		TrialProc	low	none	none	playing	2000	FALSE
1		TrialProc	none	low	none	agreeable	2000	FALSE
1		TrialProc	none	none	low	irritation	1000	TRUE
1		TrialProc	low	none	none	wound	1000	FALSE
1		TrialProc	low	none	none	delicious	2000	FALSE
1		TrialProc	none	none	high	splitting	1500	TRUE
1		TrialProc	high	none	none	conduction	2000	TRUE
1		TrialProc	high	none	none	infection	2000	FALSE
